id_cli,text_cli_en,text_cli_de,URI
15103029,pegmatite,Pegmatit,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite
15103030,aplite,Aplit,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite
15103031,microdiorite,Mikrodiorit,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite
15103032,microgabbro,Mikrogabbro,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite
15103033,lamprophyre,Lamprophyr,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite
15103034,picrite,Pikrit,http://inspire.ec.europa.eu/codelist/LithologyValue/myloniticRock
15103035,dolerite,Dolerit,http://inspire.ec.europa.eu/codelist/LithologyValue/faultRelatedMaterial
15103037,extrusive rock,Extrusivgestein,http://inspire.ec.europa.eu/codelist/LithologyValue/granite
15103039,effusive rock,Ergussgestein,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite
15103040,alkali rhyolite,Alkalirhyolith,http://inspire.ec.europa.eu/codelist/LithologyValue/brecciaGougeSeries
15103041,rhyolite,Rhyolith,http://inspire.ec.europa.eu/codelist/LithologyValue/cataclasiteSeries
15103042,rhyodacite,Rhyodazit,http://inspire.ec.europa.eu/codelist/LithologyValue/brecciaGougeSeries
15103043,dacite,Dazit,http://inspire.ec.europa.eu/codelist/LithologyValue/brecciaGougeSeries
15103044,quartz andesite,Quarzandesit,http://inspire.ec.europa.eu/codelist/LithologyValue/cataclasiteSeries
15103045,andesite,Andesit,http://inspire.ec.europa.eu/codelist/LithologyValue/cataclasiteSeries
15103046,alkali trachyte,Alkalitrachyt,http://inspire.ec.europa.eu/codelist/LithologyValue/cataclasiteSeries
15103047,trachyte,Trachyt,http://inspire.ec.europa.eu/codelist/LithologyValue/myloniticRock
15103048,basalt,Basalt,http://inspire.ec.europa.eu/codelist/LithologyValue/myloniticRock
15103049,picrite,"Pikrit, Intrusivgestein",http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock
15103050,phonolite,Phonolith,http://inspire.ec.europa.eu/codelist/LithologyValue/myloniticRock
15103051,carbonatite,Karbonatit,http://inspire.ec.europa.eu/codelist/LithologyValue/phyllonite
15103053,"pyroclastic rock (volcanic tuff, >75% pyroclastic components)","Pyroklasitsches Gestein (vulkanischer Tuff, >75% pyroklast. Komp.)",http://inspire.ec.europa.eu/codelist/LithologyValue/faultRelatedMaterial
15103054,ignimbrite,Ignimbrit,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock
15103055,pyroclastic breccia,Pyroklastische Brekzie,http://inspire.ec.europa.eu/codelist/LithologyValue/phyllite
15103056,lapilli tuff,Lapillituff,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103057,crystal tuff,Kristalltuff,http://inspire.ec.europa.eu/codelist/LithologyValue/shale
15103058,ash tuff,Aschentuff,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103060,"tuffite (pyroclastic and non-volcanic sediments, 75-25% pyroclastic components)","Tuffit (pyroklast. + nicht-vulkan. Sedimente, 75-25% pyroklast. Komp.)",http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103061,tuff breccia,tuffitische Brekzie,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103062,tuffitic conglomerate,tuffitisches Konglomerat,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103063,tuffitic sandstone,tuffitischer Sandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/glaukophanschiefer
15103064,tuffitic siltstone,tuffitischer Siltstein,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103065,tuffitic claystone,tuffitischer Tonstein,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15103066,bentonite,Bentonit,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15104001,metamorphic rock,Metamorphit,http://inspire.ec.europa.eu/codelist/LithologyValue/schist
15104003,fault zone rock,Gestein der Störungszone/Tektonit,
15104005,"kakirite (strongly shattered and sliced, ± without cohesion)","Kakirit (stark zerrüttet und zerschert, ± kohäsionslos)",http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104006,fault gouge,Gesteinsmehl,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104007,clay smear,Kluftletten,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104008,fault breccia (without cohesion),tektonische Brekzie (kohäsionslos),http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104010,"cataclasite (with larger fragments of neighbouring rock, mainly brittle deformation)","Kataklasit (mit grösseren Bruchstücken des Nebengesteins, vorwiegend spröd deformiert)",
15104011,cataclastic cellular dolomite,kataklastische Rauwacke,
15104012,tectonic dolomite breccia,tektonische Dolomitbrekzie,http://inspire.ec.europa.eu/codelist/LithologyValue/amphibolite
15104013,tectonic breccia (with cohesion),tektonische Brekzie (kohäsiv),http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104014,protocataclasite,Protokataklasit,http://inspire.ec.europa.eu/codelist/LithologyValue/paragneiss
15104015,(meso)cataclasite,(Meso)Kataklasit,https://inspire.ec.europa.eu/codelist/LithologyValue/orthogneiss
15104016,ultracataclasite,Ultrakataklasit,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104055,marble,Marmor,
15104018,"mylonite undifferenciated (dynamic recristallisation, banded, ductile deformation)","Mylonit undifferenziert (dynamisch rekristallisiert, gebändert, duktil deformiert)",http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15104019,protomylonite,Protomylonit,http://inspire.ec.europa.eu/codelist/LithologyValue/rock
15104020,mylonite,Mylonit,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15104021,ultramylonite,Ultramylonit,http://inspire.ec.europa.eu/codelist/LithologyValue/marble
15104023,phyllonite (ductile deformation),Phyllonit (duktil deformiert),http://inspire.ec.europa.eu/codelist/LithologyValue/rock
15104025,pseudotachylite (melted by frictional heat),Pseudotachylit (durch Reibungswärme aufgeschmolzen),http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15104027,rock resulting from regional- or contact metamorphism,Gestein der Regional- und Kontaktmetamorphose,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSedimentaryRock
15104029,"phyllite (very thin foliation, flaky)",Phyllit (sehr dünnschiefrig-blättrig),http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock
15104031,schist (splitting in 0.1 - 1 cm thin plates),Schiefer (in 0.1 bis 1 cm-dicke Platten spaltend),http://inspire.ec.europa.eu/codelist/LithologyValue/amphibolite
15104032,shale,Tonschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/amphibolite
15104033,sericite schist,Serizitschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/eclogite
15104034,chlorite schist,Chloritschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/peridotite
15104035,mica schist,Glimmerschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/hornfels
15104036,glaucophane schist,Glaukophanschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/skarn
15104037,calcareous schist,Kalkschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss
15104038,prasinite,Prasinit,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104039,talc schist,Talkschiefer,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104041,gneiss (splitting in cm- or dm sized plates),Gneis (in cm- bis dm-dicke Platten spaltend),http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104042,augen gneiss,Augengneis,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104043,banded gneiss,Bändergneis,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104044,veined gneiss,Adergneis,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104045,two-mica gneiss,Zweiglimmergneis,http://inspire.ec.europa.eu/codelist/LithologyValue/migmatite
15104046,agmatic gneiss,agmatitischer Gneis,http://inspire.ec.europa.eu/codelist/LithologyValue/rock
15104047,amphibolite gneiss,Leptinit,http://inspire.ec.europa.eu/codelist/LithologyValue/hornblendite
15104048,banded amphibolite,Paragneis,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock
15104049,leptinite,Orthogneis,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroxenite
15104050,paragneiss,Stronalit,http://inspire.ec.europa.eu/codelist/LithologyValue/foliatedMetamorphicRock
15104051,orthogneiss,Kinzigit,http://inspire.ec.europa.eu/codelist/LithologyValue/serpentinite
